Producto,Medidas,Linea
EIMOCOX 12%,"

12 g.",Aves
IMMITICIDE,"

50 mg.
33.7 mg.",Caninos
GARAFOS 1: 400,"

30.4 % P/P",Bovinos
TRIV CAN ALYB,"

15 - 20 mcg.
20 - 25 mcg.
15 - 20 mcg.",Caninos
CLORTECO F.G 150,"

15 g.",Aves y Porcinos
FLUNIXILLIN INYECTABLE,"

50 g.","Bovino, Equinos, Porcinos, Caninos."
OFTACILLIN UNGÜENTO OFTALMICO,"

1.065 mg.","Bovinos, Equinos, Ovinos, Porcinos, Caprinos, Caninos y Felinos."
BAYTRIL TABLETAS 15 mg  GATOS,"

15 mg.",Caninos y Felinos
BAYTRIL TABLETAS 150 MG PEROS GRANDES,"

150 mg.",Caninos
TYLOSILLIN L.A®,"

150 mg.","Bovinos, Porcinos, Ovinos, Caprinos, Caninos y Felinos."
RALGRO,"

12 mg",Bovinos
VALBOVINO S.R,"

100 mg.",Bovinos y Ovinos
ACEDERM ,"

20 mg.
114.13 mg.
425.43 mg.","Bovinos, Equinos, Caprinos, Porcinos, Caninos y Felinos."
BAYMEC PROLONG,"

1 g.",Bovinos
REVOLUTION 6%,"

60 mg.","Caninos, Felinos"
REVOLUTION 12%,"

120 mg.",Caninos
INSTAVIT AVICOLA,"

2.040.000 UI
   300.000 UI
       4.000 UI
           1.5 g.
           20 g.
             8 mg
             1 g
           400 mg
               1 g
               5 g
            500 mg",Aves
WINGLO,"

105.000 UI
  10.500 UI
        105 UI
        625 mg
        500 mg
        355 mg
        200 mg
         75 mg",Aves
ESPES,"

20.000.000 UI
            20.0 g","Bovinos, Equinos, Porcinos, Caprinos."
CALIERMUTIN PREMIX,"

100 g.",Porcinos y Aves.
BOVACILLIN D.C.,"

600 mg
300 mg",Bovinos
SPECTREX 10,"

143.0 mg
543.0 mg
  50.0 mg",Caninos
TRIANTELM,"


     560 mg

     145 mg

       50 mg
",Caninos
ACARTOX 15% E.C,"


    150 g
",Bovinos
UNICLAV,,
NORFLOXACINA 20% SOLUCION,"

20 g.",Aves y Porcinos
TENIPRASOL 4 EN 1 ,"

60 mg.
200 mg.
50 mg.
144 mg.",Caninos
IVERJECT,"

1.60 g.",Equinos
EXPERT,"

4.5 g.
1.5 g.",Bovinos
PADOCK GEL,"

2.0 g.","Equinos, Asnal y Mular."
NOKALT PULVERIZACION,"

12.5 g.",Bovinos
COOPERMETRINA,"

10 g.",Bovinos y Porcinos.
EUVECTIN,"

10 mg",Bovinos y Porcinos
AGMETIN,"

1.0 g.",Bovinos y Porcinos
LINCLOR,"

24 g.",Bovinos
BOMATE 250 MG ,"

250 mg.
1.800 mg.",Bovinos
BOMATE S,"

500 mg.",Bovinos
CAPSTAR,"

11,4 mg



57 mg


",Caninos y felinos
IMPACTO SPRAY,"

5,0 g
0,30 g","Bovinos, equinos, porcinos y ovinos"
DICLORTET 15%,"

150 g.","Aves, Porcinos."
PIROFORT,"

7 g","Bovinos, caprinos y ovinos"
NOVALSAN OTIC®,"

5 mg
100 mg
50 mg",Caninos y Felinos
CLORTECO F.G. 200,"



20.0 g",Aves y Porcinos
MEXIVER CLOSANTEL,"

0.8 g.
10 g.",Bovinos
BIODIPIRONA,"

500 mg.","Bovinos, Equinos, Porcinos, Ovinos, Caprinos y Caninos."
BIOQUIN,"

12 g.","Bovinos, Equinos, Porcinos, Ovinos, Caprinos, Caninos,  Felinos, Roedores y Aves."
MULTIBIO,"

10 g.
25.000.000 UI
25 mg.","Bovinos, Equinos, Caprinos, Porcinos, Caninos y Felinos."
QUINAMIX 20%,"


20 g",Aves y Cerdos
CEFOVET S,"

025 g.",Bovinos
CEFOVET L,,
IVERMECTINA OURO FINA PREMEZCLA PARA CERDOS,,
REPORCIN,,
DEXAMEDIUM,,
RILEXINE 300 PALATABLE,,
AVIFLOX 10%,,
VIBREX,,
NITROSCANATE,,
CHANAZINE 10%,,
NITROSCANATE 500 MG,,
CHANAZINE 2%,,
DC & R DESINFECTANT,,
CEFADROPS,50 mg,Caninos y felinos. 
DOPRAM V,,
MIMI LITTER,100%,Felinos
MAGGOTCIDE,10 g ,Aves
ECTODEX,50 mg ,Caninos
MYOFER 200,583 mg,Porcinos
CURAVECOL,"5 g 
0.30 g ","Bovinos, equinos, porcinos, caprinos, felinos y aves"
EXSPOT,0.715 g,Caninos
BUTAFENIL,"

200 mg",Equinos
CLORDIAGRO CTC 20%,20 g ,Aves
NURVIVON PASTA EQUINOS,18.7 mg,Equinos
ZANTEL,"50 mg 
500 mg",Caninos y felinos
ALLIANCE,"

10 g",Bovinos
TRIBEX 10% SUSPENSION ORAL,100 mg,"Bovinos, caprinos y ovinos"
VISEL,"50 mg
2.19 mg","Bovinos, equinos, porcinos, ovinos y caprinos"
DRONHART TABLETAS,"0.0162 mg
39.07 mg
13.57 mg",Caninos
KETAMINOL 10,100 mg,"Bovinos, ovinos, caprinos, equinos, cerdos caninos y felinos."
YODIMASPEN,333.333 U.l,"Bovinos, Equinos, Porcinos, Caprinos, ovinos Caninos y felinos "
BIOFIMOS,"30 %
10% ",Bovinos
TOTAL F PERROS GRANDES HASTA 60 KG,"100 mg
100 mg 
1.000 mg",Caninos
TOTAL F CACHORROS Y ADULTOS SUSPENSION,"5 mg 
50 mg",Caninos
CIRPOVET,"20 g 
0.3 g","Caninos, felinos y equinos"
IBAFLIN 150,150 mg,Caninos
OLIVITASAN PREMIUM ,"


3.000.000 UI
1.000.000 UI
1000 UI
130 mg.
600 mg.
400 mg.
100 mg.
50 mg.
100 mg.
100 mg.
","Bovinos, Equinos, Ovinos, Caprinos y Porcinos"
OSMOLAR ORAL,"10 g
170 ml eq
10 ml eq
19 ml eq 
20 ml eq","Bovinos, equinos, porcinos, ovinos, caprinos y aves"
MEFLOSYL,50 mg,"Bovinos, equinos y porcinos "
CLORTETRAX 20%,"


20 g",Aves y Porcinos
QUADRISOL 50,50 mg,Equinos
ADVOCIN 180,228.43 mg,Bovinos
INVECIK,"5 g
10 g
3 g 
0.4 g ","Bovinos, equinos, porcinos, gatos y aves. "
IRONVEEX 20%,"20 g
0.5 mg",Pornicos
BIOPOWDER M®,67 g,"bovinos, porcinos, aves, caninos y felinos "
FENIVEEX,30 g,"Bovinos, Caprinos, Ovinos "
DMB 110,110 g,Aves y porcinos
RIMADYL SOLUCION INYECTABLE,50 mg,Caninos
NARCOXYL 2,20 mg,"Equinos, bovinos, ovinos, caprinos, porcinos, caninos y felinos"
PARACILLIN SP,"


800 mg",Aves y Porcinos
NADASIN,"50 g 
20 g ",Aves
CEPHALLIN SP,180 mg,"Bovinos, ovinos, porcinos, caninos y felinos"
KARVISAN 100,100 mg,Caninos
KARVISAN 50,50 mg,Caninos
STOMAZOL 50,"50 mg
25 mg ",Caninos y felinos
STOMAZOL 250,"250 mg
125 mg",Caninos y felinos
IODINE,18.05%,No aplica
AVITAM N.F.,"


25.000.000 U.l
7.000.000 U.l.
7.000 U.l.
",Bovinos
MAMYZIN P 10 G,,
MILHORSE,"

  12 mg.
150 mg.",Equinos
EMEMAST,"


    0.25 mg
     200 mg
     200 mg
",Bovinos
SENTINEL,,
CHAMPU KAWU DESODORANTE,"


    70  g
  0.4 mg
 0.02  g
   4.5  g
      3  g
  1.75 g
      1  g
  0.12 mL
  0.05 g
  0.05 g ",Caninos y Felinos
FOSVERM,"


    75 mg","Bovinos, Porcinos, Ovinos y Caprinos"
RICOFINO ORAL,"


    6.0 g",Bovinos
SULFAMETOXAZOL,"


    20 g
      4 g
",Aves
TRISSULFIN POLVO SOLUBLE,"


    10 g
      2 g
 0.25 g",Aves y Porcinos
MUCOSOL,"


    56.90 g",Aves y Porcinos
DICLOFENACO 50,"


    5 g","Bovinos, Equinos, Ovinos, Porcinos y Caprinos."
DELEGOL VET,"


    4,5  g
       7  g
  3,75  g
",No aplica
15-AMOX,"


    15 g","Bovinos, Ovinos, Caprinos y Porcinos"
NORFLOMAX POLVO SOLUBLE,"


22.75 g

  0.50 g",Aves y Cerdos
IBLAFLIN 300,"


    300 mg",Caninos
EZOTEC 10 (POLVO),"


    10.0 g",Aves
GARDAL 10%,"


    100 mg",Bovinos y Ovinos
COLDIAGRO CTC 15%,"


    150.0 g",Aves y Porcinos
VETECOR 5.000 U.I.,                              5000 U.I.,"Bovinos, equinos, porcinos, ovinos, caprinos, caninos y felinos "
NURVIRON PREMEZCLA,"                                   0,6 g",Porcinos
RILEXINE 150, 150 mg,"Bovinos, ovinos, caprinos, porcinos, caninos y felinos "
CARVACLOR,"


20 g",
FENIVEEX SOLUCION ORAL,,
BOLFO AEROSOL,,
EQ-ZONA,,
INMUNAIR 17.5%,"


0,17 mg 
0,05 mg","Aves, Caninos y Felinos"
FOSBAC PLUS T,                                 20 g                                      5 g                            ,Aves
AMBIFLUD TRIAZIN,                              1 g,Aves
MICROFLUD,"


50 mg
","Bovinos, equinos y porcinos"
VITACALIER AD3CE,"                               50000 U.I.
5000 U.I. 
30 U.I.
100 mg ","Bovinos, equinos, porcinos, conejos, visones, chinchillas y aves "
PYTHON,10%                       20%                      ,Bovinos
BIOCOXIN,"


120 g",Aves
SPECTREX 20,                           286 mg                   1086 mg                100 mg ,Caninos
SOFOMAX ,"

10 g
0.2 g",Bovinos y ovinos
SAN-O-FEC 80 DOBLE CADENA,,
DEXTROFOSCAL ,"                       47.0 mg                  13,7 mg                7,5 mg                         150 mg
                           ","Bovinos, equinos, ovinos, caprinos y porcinos "
SETON 20%,                                  200 mg,"Bovinos, equinos y caninos "
MEGLUDYNE,"                              50 mg.
","Bovinos, equinos y porcinos "
ENDOGARD 30,"

450 mg
432 mg
150 mg
0,18 mg",Caninos
ENDOGARD 10,"

150 mg
144 mg
50 mg
0,06 mg",Caninos
ENDOGARD 2.5,"

37,5 mg
36 mg
12,5 mg
0,015 mg





",Caninos
DOMINATOR,"                                2,1109 g",Bovinos
COLDICOX,                          200 g,Aves
TREBISAN 20,"



120 g",Aves
OMNICIDE,"                                1.5.0 g
10.0 g
",No aplica
RALGRO L.A.,,Bovinos
FASIMEC,                             120 g                                2 g,Bovinos
FERROL 10%,                               100 mg ,Bovinos y porcinos
EQ-MINA,                             1 g,"Equinos, caninos y felinos"
PECTINOVA,                                 17.5 g,"Bovinos, equinos, porcinos y caninos "
BEST CURE- MANCHA BLANCA ,0.40%,Peces
BEST CURE PECES-AUXILIAR,"                                        0.07%
",Peces
BEST CURE ANTI-HONGOS,"0.2 %
0.2 % 
",Peces
CRECIBOL 25,                            25 mg,"Bovinos, ovinos, caprinos, porcinos, caninos y felinos "
CRECIBOL 50,                           50 mg,"Bovinos, equinos, ovinos, caprinos, porcinos y caninos "
HYONATE,                           10 mg,Equinos
VIRBACMEC F,"                           10 mg.
100 mg.",Bovinos
MAXFLOR,                                400 mg,Bovinos y porcinos
NICARBAZINA 1000,                         97 g,Aves
FLUNIVEEX,                          ,"Bovinos, equinos y porcinos"
VALLEEX,"                                6,0 g                               10,0 g                                                6,0 g                                    1,0 g","Bovinos, equinos, caprinos, ovinos, porcinos, caninos y felinos"
FENICLOR PREMEZCLA 2%,                               20 g,Porcinos
OXITRAT L.A.,                              20 g,"Bovinos, porcinos, ovinos, caprinos y conejos "
QUINOTRIL ,                                   10 mg,"Bovinos, porcinos, ovinos y caprinos "
SULFAMAX,                              40 g                           8 g,"Bovinos, equinos, porcinos, ovinos y caprinos "
GLUCALPHOS 4X1,"                                   21 g 
5g 
25 g ","Bovinos, equinos, ovinos y porcinos "
NEOMASTER,"                            62,50 mg                 53,50 mg                ",Bovinos
HIDROL 20 NF,"


157.65 mg
42.35 mg",
COXIDIN 20%,                                      200 g,Aves
AVIAN PAC SOLUBLE,                                1.5X10⁸UFC             1.5X10⁸UFC                                ,Aves
AVIAN PAC SOLUBLE 2,                               1.0 X10⁸UFC             1.0 X10⁸UFC                                ,Aves
METACAM 20 mg/ml,20 mg,"Bovinos, equinos y porcinos"
KIL TIX POUR ON,,
AGITA 1 GB,"

1 g


0,1 g",No aplica
FINAMAST,,
BAYTRIL MAX,,
ASUNTOL JABON ,,
DOMOSO SOLUCION ,,
PREMIX DE NICARBAZINA 25%,,
RATEND,,
UNIMECTINE INYECTABLE,,
OSMOLAR,,
CLAVAMOX TABLETAS 250 MG,,
CLAVAMOX TABLETAS 62.5 MG,,
CLAVAMOX TABLETAS 125 MG,,
CLAVAMOX GOTAS,,
CLODISTINA ,,
OUROTETRA L.A.,,
IVER LA,"

1 g",Bovinos
ABAMECTINA 1% L.A.,"                                1,0 g",Bovinos
IVER DUAL GEL,"                                0,120 g                        1,500 g",Equinos
ABAMECTINA GEL COMPUESTO,,Equinos
CITUIS I%,,
CITUIS 5%,,
OSMOLAR INYECTABLE,"                                5.0 g                      13,60 mEg             1,0 mEg              0,5 mEg                0,3 mEg                 4,7 mEg               0,58 mEg                               ","Bovinos, equinos, porcinos, ovinos, y caprinos."
DISPOSITIVO INTRAVAGINAL BOVINO SYNTEX,                              1 g,Bovinos
ASUNTOL 30% PARA CANINOS,                                         30 g,Caninos
SALINOPHARM 12% PREMIX,"

120 g
",Aves
POULCOX 20% PREMIX,"

200 g",Aves
RADEK GRANULADO,                             2.2 g,"Bovinos, ovinos, caprinos, porcinos, equinos y caninos"
VIGANTOL ADE,"                                    500.000 U.l.
75.000 U.l               50 U.l","Bovinos, equinos, ovinos, caprinos, porcinos, caninos y felinos. "
"IVERMECTINA 0,2% (SOLUCION INYECTABLE)",                                2 mg,Porcinos
ETOGESIC 150 MG,                             150 mg,Caninos
ETOGESIC 300 MG,                                                                  300 mg,Caninos
DIURIDEM,"


10 m
0.50 mg",Bovinos y equinos 
ARTRI-TABS,                                500 mg                                      300 mg                                50 mg                      50 mg,Caninos y felinos
EQ-GEL,"                                  2 g                             0,142 g                            1 g                        2 g",Equinos
ALIZIN,                                30 mg,Caninos
PENIVEEX COMPLEX,"

20'000.000 U.I.

25 g
1 g","Bovinos, ovinos, caprinos, porcinos y equinos"
MULTIVITAMÍNICO AVÍCOLA,"15.000.000 UI
3.000.000 UI 
25.000 UI
7.100 mg
3.200 mg
8.500 mg
7.500 mg 
23 mg
75.000 mg
1.300 mg
30.000 mg
19.000 mg 
100 mg
",Aves
NOVORMON 5000,"
200 UI","Bovinos, porcinos y conejos "
CEVAFUR,5 g,Bovinos y porcinos
CEFLORMIX,                                           8 g,Porcinos
CLEAN EGGS,"                                44,15 g                                  26,50 g                       4,5 g                      ",No aplica
SURAMOX 50%,                              500 m,Aves y porcinos
DELLA SOFT ,"

1,99 g",Bovinos 
FX INYECTABLE 20%,"                                   0,2 mg",Aves
CEVAMIDA,1 g,No aplica
FENICLOR 10% SOLUCION ORAL,                          10 g,Porcinos y aves 
CHONDROFLEX 225,                                    225 mg                            225 mg,Caninos
CHONDROFLEX 375,                                 375  mg             375 mg,Caninos
CHONDROFLEX 525,                             525 mg                                          525 mg,Caninos
GENTAVET 10%,                            10 g,"Bovinos, equinos, aves"
COCCI-AID,"                           13,6 g                         ",Aves
VETANCID POLVO,                              5 g,No aplica
FELINE PINE,"

100 %",Felinos
CALCITROPINA PM,"

20,8 g
8,5 g
5,5 g
1,27 g","Bovinos, ovinos, equinos, caprinos y camélidos"
CEVAMOX,"

14 g
0,5 g",Aves
VETRIBAC D SOLUCIÓN ,"

1 g",Aves
FENIVEEX PREMIX ,"
2 g",Porcinos
SINCROCEL 11-21,"

0,075 mg","Bovinos, equinos, porcinos"
PRONAPEN 4'000.000 U.I,"

300.000 U.I
100.000 U.I","Bovinos, equinos, porcinos, ovinos, caprinos, caninos y felinos "
NEOMASTIPRA - LAC,"

75 mg
200 mg",Bovinos
CHAMPU CON VITAMINAS REVEEX,"


1 g


2 g
2 g","Equinos, caninos y felinos"
AFLORAC,"

20 g",Porcinos
BAYTICOL E.C. 3%,"

30 mL.","Bovinos, Equinos"
DURACICLINA 5%,"

50 mg","Bovinos, porcinos, ovinos y caninos "
DOXIFIN CURSO,"

4,0 g
0,0165 g","Bovinos, ovinos y caprinos"
DETIA PROFESSIONAL CEBO EN PELLETS,"

0,005 g",No aplica
MICROFLUD F SOLUCIÓN ,"

10 g",Aves
TYLOVET T 80% GRANULAR,"

800 g","Aves, Porcinos"
STARMAST,"

310.2 mg.",Bovinos
HYPEROX,"

4,9 g
25 g",No aplica
ALPHAGENPRILLS ,"

99,969 g",No aplica
DOMOSO GEL,"

90 g",Equinos y caninos
TIAFEN,"

200 mg",Aves y porcinos
LANCER,"

1 g.",Bovinos
RODOTIUM 80% GRANULAR PREMIX,"

800 g
","Aves, Porcinos"
VETCUTEN,"

1 g
0,04 g
0,5 g","Bovinos, equinos, caprinos, ovinos, porcinos, caninos y felinos"
ERITRAVE P. 20,"

22 g",Aves
HEPATOXAN VALLEÉ,"

10.000 mg
2.000 mg
1.500 mg
5.000 mg
1.000 mg
500 mg
1.000 mg","Bovinos, equinos, ovinos, caprinos, porcinos, caninos y felinos"
EQUEST PRAMOX,"

2 g
12,5 mg",Equinos
FLORBLEND,"

20 g",Porcinos
TIDY CAT ABSORVENTE ,"

75%
25%",Felinos
HIERRO DEXTRANO SOLCAMP,"

100 mg","Bovinos, porcinos"
MEGAMECTIN 3.5,"

3,5 g",Bovinos
DI HEPTARINE S SOLUCION ,"

16 g",Aves
ADVANTIX,"

100 mg
500 mg",Caninos
CYAMICINA L.A. 20%,"

200 mg","Bovinos, ovinos, caprinos y porcinos"
VALIANT 1 Y 3,"


11 g
2 g


3,65 g",Bovinos
EQVALAN GOLD,"

1.55 g
7.75 g ",Equinos
FRONTLINE COMBO PARA GATOS,                             10 g                          12 g,Felinos
FRONTLINE COMBO PARA PERROS,                            10 g                           9 g,Caninos
VETERCICLIN,"                                107,143 UI.           71, 429 UI.          178.571 mg","Bovinos, equinos, porcinos, ovinos, caprinos y caninos "
BAYMEC PASTA,"                                    18,7 mg",Equinos
HEMO-4,"                                 40 mg                100 mcg                    500 mcg                                   12,5 mg                             10 mg                                   5 mg                                   2,5 mg                       1,6 mg                  ","Bovinos, equinos, ovinos, porcinos y caninos "
RATEX BLOQUES,"                              0,005 g",No aplica
BAYTRIL 150 mg SABORIZADO TABLETAS,                               150 g,Caninos
,                                15 mg,Caninos y felinos
BAYTRIL 50 MG SABORIZADO TABLETAS,                                   50 mg,Caninos y felinos 
BIOSOLAMINE,"                                 0,05 g                    0,10 g                      0,10 g                          1,00 g                    1,50 g                   ","Bovinos, equinos, ovinos, porcinos, caninos y felinos"
CALMAFORT,"                          14 g                                1,4 g                          4,04 g                                    3,25 g                        2,9 g                           2,5 g","Bovinos, equinos, ovinos, caprinos, porcinos, Caninos y felinos "
ANTITERMYL,"

17 g.
3 g.
2 g.
20 g.

13 g.

2 g.

2 g.

22,5 g.",Aves
ALPLUCINE SOLUBLE,"

9 g",Porcinos y aves
ALPLUCINE PREMIX,                               27 g,Porcinos
CEVAMETRINA 5P,                                  5 g,No aplica
CICLOSPORINA 1%,                             1 g,Caninos
OFLOXACINA ,,
ABSORSOL,    75%                        25%,Felinos
VIGANTOL B,                                  35 mg                         7 mg                                       23 mg,"Bovinos, equinos, ovinos, caprinos, porcinos, caninos y felinos."
CICLASE,"                              7,5 mg","Bovinos, porcinos"
EPITELIZANTE OCULAR,                                 I g (1.000.000 UI)     0.1 g (100 UI)   2.5 g              ,Caninos y felinos
STORM PELLETS,                                         5 mg,No aplica
OVALSYE GNR,                                     100 mcg                ,Bovinos
CARAVANAS INSECTICIDAS SYNTEC - DC,                             30 g                           10 g,Bovinos
MOS-K-TION,                                 15 g,Bovinos
EPIOTIC SPHERULITES,"

0,11 g
2,88 g",Caninos y felinos
RANGER,"

1,0 g",Bovinos y Porcinos
DRONTAL PS SABORIZADO,"

150 mg
144 mg
50 mg",Caninos
CLORFARM 200,"


200 g",Aves y porcinos
GESTAR (GnRh OVER),"

0,00042 mg",Bovinos y equinos
TILOSINA 20,"

20 g",Bovinos y porcinos
PROSTAL,"

0,0075 g","Bovinos, equinos y porcinos"
CEVAMETRINA 20,"

20 g",No aplica
ENCORE PRE/POST,"

3,08 g",Bovinos
ENCORE BARRIER,"

2,72 g",Bovinos
ENCORE ACTIVATOR,"

2,72 g",Bovinos
IVERMECTINA OVER,"

1 g",Bovinos y porcinos
OVERSEL ADE,"

6.800 U.I.
1,09 g
3'000.000 U.I.
1'000.000 U.I.
5,0 g
5,0 g
3,0 g","Bovinos, equinos, porcinos y ovinos "
INESFLY 5A IGR VET POUR ON ,"

1,2 g
1,2 g
0,063 g",Bovinos
DAP 300,"

100 g",No aplica
COLISINT 100,"


100 g",Aves
BAYCOX 5%,"

50 mg",Bovinos y porcinos
RADEK SUSPENSION ORAL,"

100 mg","Bovinos, equinos, ovinos, caprinos, porcinos y caninos"
SURAMOX 20% PREMIX,"

200 g",Aves y porcinos
OVERBIOTIC L.A.,"

 20 g","Bovinos, ovinos y porcinos"
BIOXAN COMPUESTO VALLÉE,"

3 mg
16 mg
3 mg
2 mg
240 mg
6.000 mg
400 mg
50 mg
30 mg
16 mg
600 mg
300 mg
","Bovinos, equinos, ovinos, porcinos, caprinos, caninos y felinos"
WORM-EX,"

500 μg
25 mg
30 mg",Aves
VIROCID,"

170,5 g
78 g
107,25 g",No aplica
MICRFLUD F 20 PREMIX ,"

2 g",Porcinos
CYDECTIN POUR-ON,"

500 mg",Bovinos
COMPUDOSE G,"

20 mg
4 mg",Bovinos
FUNGITEC,"


25 g",No aplica
CARDIAL,"

6,54 mg
5 mg",Caninos
CETRIFOS,"

25 g",Aves
CIDR,"

1,3 g",Bovinos
FLORFENICOL 300,"

30 g",Bovinos y porcinos
CEFTIOFUR L.P.U,"

5 g",Bovinos y porcinos
OXITOCINA OVER,"

100 U.I.","Bovinos, equinos, ovinos, porcinos, caprinos, caninos y felinos"
ILERSAN 420,"

20 g",No aplica
PIRSUE SOLUCIÓN ESTÉRIL,"

50 mg",Bovinos
MAGNA-MIX,                                                     50 g ,Aves 
CREMA PREMIUM OVER,"0,07 g                       1 g                   2 g                      2 g","Bovinos, Equinos, Ovinos, Caninos y Felinos"
GANEKYL,"

5 g.","Bovinos, Equinos, Porcinos, Caninos y Felinos"
SINTOMUTYLIN 100,"


100 g.",Porcinos
FIMECTIN SOLUBLE,"                  10,2 mg",Equinos
BMD 10% PREMEX,                               100 g,Aves y Porcinos 
IVERMECTINA LA. PREMIUM,"                         3,15 g ",Bovinos 
DERMACURE,1 mg                   5 mg                 30 mg,"Equinos, Caninos y Felinos"
ATTACK,                           10 g                          1 g,Caninos 
COXIMICIN,"


   3000 mg",Aves
SYNEDEM ,"


    5  g
  0.2 g
",Bovinos y equinos
17 ALFA METIL TESTOSTERONA,"


0.997 g",Peces
NUFLOR 50% ACUACULTURA,"


    500 mg",Peces
AMOXICILINA 22.5% + FLUMEQUINA 15%,"


    225 g
    150 g
",Aves y Porcinos
ILERSAN 414,"


     14  g
    2.5  g
",No aplica
SALKIL,"


29.20 g
    5.8 g
    7.0 g
",Aves
AMINOVIT,"


700 mg
45 mg
31 mg
87.5 mg
625 mg
312.5 mg
312.5 mg
4.2 mg
4.2 mg
10.5 mg
10.000 mg
15 mg
2 mg
7 mg
","Bovinos, Equinos, Ovinos, Caprinos, Porcinos, Caninos y Felinos"
REVICAL,"


 20 g
   5 g
 10 g
0.1 g
","Bovinos, Equinos, Ovinos, Porcinos y Caninos"
VIRUKILL,120 g.,No aplica
QUICKBAYT,"

5 g.",No aplica
CLOSIL,,
IMITOX,,
BYFLY,,
ACTI-SPECTIN,"


22 g
22 g",Porcinos y aves
FENDONA 60 SC,,
MILBEMAX C,,
ASCOPIR,400 g,Aves
SEBOCALM SPHERULITES,,
SPECTRAMAST DC,,
MILBEMAX G 4/10,,
MILBEMAX G 16/40,,
RILEXINE 200 NP,,
PROTHEVIT,"





1,031 g.

0.3 g.

0.075 g.

0.3 g.

1 mg.

1 g.

1 g.
20 g.

7 g.
2 g.
3 g.
",Aves
FLUMEVET,"


    50 mg","Bovinos, Equinos, Porcinos y Caninos"
BIO SPOT - ON FLEA CONTROL FOR CATS,"


0.16 mL",Felinos
BIO GUARD SHAMPOO,"


0.2 mL
0.007 mL
",Caninos y Felinos
BIO SPOT FLEA AND TICK CONTROL FOR DOGS,"


     0.49 mL
     0.10 mL
",Caninos
AQUAZIX,"


500 mL
5 mL
",No aplica
GLICOPAN  PET,"1500 mg.
1000 mg.
1000 mg.
2000 µg
13260 mg
10 g.
426 mg.
10 g.
2820 mg.
5268 mg.
10 g.
10 g.
2364 mg.
10 g.
156 mg.
420 mg.
570 mg.
1620 mg.
936 mg
200 g.
180 mg.
421 mg.
1314 mg.
5900 mg.
4956 mg.
8334 mg.
216 mg.
480 mg.
3180 mg. 
","Caninos, felinos, mustélidos, aviares, roedores"
HEMOLITAN PET,"


1.500 mg
1.500 mg
1.200 mg
15.000 mcg
250 mg
1.200 mg
1.200 mg
5.000 mg
4.500 mg
100 mg
500 mg
5.000 mcg
200 g
","Caninos, Felinos y Aves"
RILEXINE 500 N,"


250 mg
250 mg
",Bovinos
FENIFLOR PREMIX,"



20 g",Cerdos
MICROFEN 100,"


    100 g",Porcinos
DEXAMETASONA,"


    0.8 g
    0.2 g
","Bovinos, Equinos, Porcinos, Ovinos, Caninos Y Felinos"
SALINOMICINA SODICA 12% GRANULADA - PREMEX,"

120 g.",Aves
"MELOXIFIN COMPRIMIDOS 0,5 MG","

0.5 mg.",Caninos
OLIVITASAN,"

300 mg.
1.000.000 UI
1.000.000 UI
500 mg.
100 mg.
400 mg.
100 mg.
50 mg.
100 mg.
500 mg.
500 mg.
300 mg.
1000 mg.","Bovinos, Equinos, Ovinos, Caprinos y Porcinos"
GANAMYL F,"

10 g.
0.5 g.
5 g.
75 mg.
5.5 g.
1.75 g.


","Bovinos, Equinos, Porcinos, Caninos y Felinos"
SYNTOCARB 250 PREMIX,"


25 mg.",Aves
SHINEPET TONALIZADOR BLACK,"

12 g.
5 g.","Caninos, Felinos y Equinos"
SHINEPET TONALIZADOR SILVER,"

12 g.
5 g.","Caninos, Felinos y Equinos"
SHINEPET TONALIZADOR BRONZE,"

12 g.
5 g.","Caninos, Felinos y Equinos"
FX SOLUCION ORAL ,"

100 mg.",Aves
COLDIZURIL,"

0.5 g.",Aves
BOVIGAM LACTACION,"

5 mg.
25 mg.",Bovinos
ATROPINA 1%,"

1 g.","Bovinos, Equinos, Ovinos, Porcinos, Caninos y Felinos"
CEFALEXINA 200,"

20 g.","Bovinos, Ovinos, Porcinos, Caninos y Felinos"
AQUATYL,"

95 g.
5 g.",Aves
ZUBRIN,"

833.33 mg.",Caninos
FLOXEN 0.2 % PIG DOSER,"

2 mg.",Porcinos
UNIDEXAM,"

2 mg.","Bovinos, Equinos, Ovinos, Porcinos, Caninos y Felinos"
COBACTAN SECADO,"

50 mg.",Bovinos
FULLDIP GEL ALOE,"

2.900 g.

8.500 g.
0.600 g.
0.050 g.",Bovinos
FULLDIP SELLADOR,"

2.77 g.

5.66 g.
1.27 g.
0.50 g.",Bovinos
FULLDIP GEL 5000,"

3.35 g.

5.66 g.
1.27 g.
",Bovinos
FLOXEN 5,"

50 mg.","Bovinos, Porcinos, Caninos y Felinos"
DIFREMINE,"

25 mg.","Bovinos, Equinos, Caninos y Felinos"
EQ STAR,"
1.09 g.
1.09 g.
13.19 g.
5.49 g.
1.09 g.
1.09 g.
",Equinos
UNICICLINA,"
50 mg","Bovinos, porcinos, equinos, caninos y felinos"
SCALIBOR,"


    4 g",Caninos
VETAPEN,"
150.000 UI
150.000 UI
68.75 µg","Bovinos, Equinos, Porcinos, Ovinos y Caninos"
EQUIMAX ,"
18.7 mg.
140.3 mg.",Equinos
UNICICLINA 100,"

100 mg","Bovinos, equinos, porcinos, ovinos, caninos y felinos"
