No REGISTRO,FECHA OTORGADO REGISTRO Y No RESOLUCION,FECHA MODIFICACION  Y Nª RESOLUCION,NOMBRE DEL PRODUCTO,NOMBRE EMPRESA,INGREDIENTE ACTIVO,CONCENTRACION,CAT TOXIC,CLASE DE PRODUCTO,TIPO FOR.,PAIS DE ORIGEN DEL PRODUCTO FORMULADO,CULTIVO,Name
1325,06-08-2013/ 3501,08-08-2014/ 2404,IMIDAMAC 70 WG,MAC LIFE SCIENCE S.A.S,IMIDACLOPRID,700 g/Kg,III,INSECTICIDA,WG,ALEMANIA,"TOMATE,  ROSAS",Table_30
1326,06-08-2013/ 3500,11-04-2018/ 22876,HOPLITA 72 WP,"COMPAÑÍA DE SUMINISTROS AGRICOLAS Y VETERINARIOS
S.A ""SUCROP S.A""","MANCOZEB CYMOXANIL
189 de 365","640 g/Kg
80 g/Kg",III,FUNGICIDA,WP,CHINA,PAPA,Table_30
1327,13-09-2013/ 3936,10-02-2014/ 489,BUTHAMARK 600 EC,INDUSTRIA PRODUCTORA DE ARROZ- INPROARROZ S.A,LUFENURON,50 g/L,III,INSECTICIDA,EC,CHINA,"ARROZ, TOMATE",Table_30
1328,06-08-2013/ 3499,30-06-2020/  070741,THIDIAZURON  50 WP,DVA DE COLOMBIA LTDA,THIDIAZURON,526.4 g/Kg,III,REGULADOR FISIOLOGICO,WP,CHINA,ALGODÓN,Table_30
1329,09-08-2013/ 3525,"20-11-2013/ 4859
30-06-2020/ 070735",HELMSSIC®,HELM ANDINA S.A.S,CLORIMURON ETIL,250 g/Kg,III,HERBICIDA,WG,CHINA,SOYA,Table_30
1330,06-08-2013/ 3753,10-12-2019/ 19890,TEFLUMEZ 250 SC-MEZFER,MEZFER DE COLOMBIA LTDA,TEFLUBENZURON,250 g/L,III,INSECTICIDA,SC,CHINA,"MAIZ,  PALMA AFRICANA",Table_30
1331,09-08-2013/ 3526,22-01-2014/ 262,RUTEL 10% WP,INTEROC S.A SUCURSAL COLOMBIA,POLYOXIN B,101 g/Kg,III,FUNGICIDA,WP,CHINA,"ROSAS, TOMATE",Table_30
1332,09-08-2013/ 3527,08-08-2014/ 2405,MAUZER 50 WP,AGROCENTRO COLOMBIA S.A.S,DIMETOMORF,500 g/Kg,III,FUNGICIDA,WP,CHINA,"PAPA, TOMATE",Table_30
1333,30-10-2013/ 4471,"22-11-2013/ 4896
31-01-2020/ 61156",CERTEZA 80 WP,POINT DE COLOMBIA S.A.S,"MANCOZEB
190 de 365",800 g/Kg,III,FUNGICIDA,WP,CHINA,"ARROZ, CEBOLLA JUNCA PAPA",Table_30
1334,12-08-2013/ 3558,"29-05-2014/ 1643
31-01-2020/ 61151",DECISIVO 500 SC,POINT DE COLOMBIA S.A.S,CARBENDAZIM,500 g/L,III,FUNGICIDA,SC,CHINA,"ARROZ, TOMATE, PAPA",Table_30
1335,22-08-2013/ 3655,"21-11-2015/ 1225,
08-03-2016/ 2324
22-11-2017/ 15577
20-03-2019/ 3160
30-07-2020/ 072354",PLEO® 50 EC,VALENT BIOSCIENCES LLC,PYRIDALYL,500 g/L,II,INSECTICIDA,EC,JAPON,"TOMATE, PAPA, ARROZ, MAIZ, ROSA, AGUACATE",Table_30
1336,06-09-2013/3857,,ABAMECTINA RAINBOW1.8 EC,RAINBOW AGROSCIENCES S.A.S.,ABAMECTINA,18 g/L,II,INSECTICIDA ACARICIDA,EC,CHINA,ROSA,Table_30
1337,10-10-2013/ 4209,,METOMIL VASCAL 216 SL,"COMERCIALIZADORA INTERNACIONAL VASCAL LTDA ""CI VASCAL LTDA""",,216 g/L,IB,INSECTICIDA,SL,CHINA,PAPA,Table_30
1338,06-09-2013/3858,,CLOMAZONE RAINBOW 480 EC,RAINBOW AGROSCIENCES S.A.S.,CLOMAZONE,480 g/L,II,HERBICIDA,EC,CHINA,ARROZ,Table_30
1339,06-09-2013/3859,,OXADIAZON RAINBOW 250 EC,RAINBOW AGROSCIENCES S.A.S.,OXADIAZON,250 g/L,III,HERBICIDA,EC,CHINA,ARROZ,Table_30
1340,30-08-2013/ 3781,,IMIDACLOPRID RAINBOW 350 SC,RAINBOW AGROSCIENCES S.A.S.,"IMIDACLOPRID
191 de 365",350 g/L,II,INSECTICIDA,SC,CHINA,PASTOS,Table_30
1341,27-08-2013/ 3756,12-12-2019/ 20334,NIFUN® 720 WP,LABORATORIOS CHALVER DE COLOMBIA S.A,MANCOZEB METALAXIL,640 g/Kg,III,FUNGICIDA,WP,COLOMBIA,PAPA,Table_30
1342,30-08-2013/ 3784,,DIFECONAZOLE+ PROPICONAZOLE RAINBOW 500 EC,RAINBOW AGROSCIENCES S.A.S,DIFECONAZOLE+ PROPICONAZOLE,250 g/L,III,FUNGICIDA,EC,CHINA,ARROZ,Table_30
1343,18-09-2013/ 3947,,PROPICONAZOL RAINBOW 250 EC,RAINBOW AGROSCIENCES S.A.S,PROPICONAZOLE,250 g/L,III,FUNGICIDA,EC,CHINA,ARROZ,Table_30
1344,30-09-2013/ 4089,"06-03-2017/ 2464
11-09-2018/ 31940",CERO 100 SC,AGRO-LEAD COLOMBIA S.A.S,BISPIRIBAC SODIUM,108.9 g/L,III,HERBICIDA,SC,CHINA,ARROZ,Table_30
1345,02-09-2013/ 3794,"18-03-2015/ 797
30-07-2015 / 2694
05-02-2020/ 61398",PROTON INTEROC CUSTER,INTEROC S.A. SUCURSAL COLOMBIA,ISOPROTHIOLAN,400 g/L,II,FUNGICIDA,EC,"CHINA, ECUADOR",ARROZ,Table_30
1346,26-09-2013/ 4070,,EPOXICONAZOLE+CARBENDAZIM RAINBOW 250 SC,RAINBOW AGROSCIENCES S.A.S,EPOXICONAZOLE+ CARBENDAZIM,"125 g/L
125 g/L",III,FUNGICIDA,SC,CHINA,ARROZ,Table_30
1347,26-09-2013/ 4066,,DINOMAC® 250 EC,MAC LIFE SCIENCE S.A.S,"DIFENOCONAZOLE
192 de 365",250 g/L,II,FUNGICIDA,EC,ALEMANIA GRAN BRETAÑA,"TOMATE,  ROSA",Table_30
1348,10-10-2013/ 4185,"25-05-2015/ 1752
26-02-2020/ 62672",SIRTAK SC,AVGUST COLOMBIA S.A.S.,DIFLUBENZURON,240 g/L,III,INSECTICIDA,SC,RUSIA CHINA,"ARROZ, MAIZ",Table_30
1349,13-09-2013/ 3937,21-08-2015/ 2967,DILIGENTCT 81 WP,ROTAM AGROCHEMICAL COLOMBIA S.A.S,METALAXYL CLOROTALONIL,"90 g/Kg
720 g/kg",III,FUNGICIDA,WP,CHINA,"PAPA, TOMATE",Table_30
1350,13-09-2013/ 3998,,HEROE 100 ME,QUIMICOS OMA S.A,PIRIMETANIL,100 g/L,III,FUNGICIDA,ME,COLOMBIA CHINA,BANANO,Table_30
1351,26-09-2013/ 4069,,TEBUCONAZOL RAINBOW 250 EC,RAINBOW AGROSCIENCE S.A.S,TEBUCONAZOL,250 g/L,II,FUNGICIDA,EC,CHINA,ARROZ,Table_30
1352,13-09-2013/ 3999,"14-02-2014/ 523
09-09-2016/ 11860
16-08-2017/ 10006
22-10-2017/ 12844
26-02-2020/ 62680",SAGUM® 25% SC,SEMBRO S.A,FLUTRIAFOL,250 g/L,III,FUNGICIDA,SC,CHINA,"ARROZ, CAFÉ, BANANO, AGUACATE, PAPA",Table_30
1353,13-09-2013/ 3940,"02-10-2018/ 33513
24-04-2020/ 066037",PROPAMBA N-SL,"AGROQUIMICOS SEMILLAS Y EQUIPOS DE RIEGO S.A ""AGROSER S.A""",PROPAMOCARB HIDROCLORURO,700 g/L,III,FUNGICIDA,SL,VENEZUELA CHINA,"ROSA, PAPA, TOMATE UCHUVA, LULO, TOMATE DE ARBOL",Table_30
1354,26-09-2013/ 4063,,DAFO 250 SC,SHARDA COLOMBIA S.A,"DIAFENTIURON
193 de 365",250 g/L,III,INSECTICIDA,SC,INDIA,"ROSA, HABICHUELA",Table_30
1355,26-09-2013/ 4065,,PRO 80 WG,SHARDA COLOMBIA S.A,FIPRONIL,800 g/Kg,III,INSECTICIDA,WG,INDIA,"ROSA, ARROZ",Table_30
1356,26-09-2013/ 4064,27-03-2020/ 064646,APACHE 20 EC,POINT DE COLOMBIA S.A.S,CIPERMETRINA,200 g/L,II,INSECTICIDA,EC,CHINA,"PAPA,TOMATE",Table_30
1357,10-10-2013/ 4212,,EPOXICONAZOLE+KRESOXIM METIL RAINBOW 250 SC,RAINBOW AGROSCIENCE S.A.S,EPOXICONAZOLE KRESOXIM METIL,"125 g/L
125 g/L",III,FUNGICIDA,SC,CHINA,ARROZ,Table_30
1358,26-09-2013/ 4068,"16-05-2018/ 24876
09-04-2019/ 4392",FLUTRIAFOL 250 SC DVA,DVA DE COLOMBIA LTDA,FLUTRIAFOL,250 g/L,II,FUNGICIDA,SC,CHINA,"ARROZ, ALGODÓN, CAFÉ, AGUACATE, CEBOLLA LARGA MAIZ,  BANANO",Table_30
1359,03-10-2013/ 4114,10-12-2019/ 19889,DIESTRO 120 EC,INVESA S.A,CLETODIM,120 g/L,III,HERBICIDA,EC,COLOMBIA,"CEBOLLA, ALGODÓN ZANAHORIA,TOMATE SOYA",Table_30
1360,30-09-2013/ 4090,"01-12-2017/ 16545
26-02-2020/ 62686",LINDERO®200 EC,INVESA S.A,FLUROXIPYR METYL,200 g/L,III,HERBICIDA,EC,COLOMBIA,POTREROS,Table_30
1361,30-09-2013/ 4094,30-06-2015/ 2240,NEROS SURCOS®SC,RED SURCOS COLOMBIA LTDA,"LAMBDACIALOTRINA IMIDACLOPRID
194 de 365","100 g/L
200 g/L",III,INSECTICIDA,SC,ARGENTINA,"PAPA, TOMATE",Table_30
1362,30-09-2013/ 4095,,BENZOMECTINA VECOL 5% SG,"COLOMBIANA DE PRODUCTOS VETERINARIOS S.A ""VECOL S.A""",BENZOATO DE EMAMECTINA,50 g/Kg,III,INSECTICIDA,SG,CHINA,"ALGODÓN, MAIZ",Table_30
1363,30-09-2013/ 4091,CANCELADO CON RESOLUCION No 069303 DEL04-06-2020,OSIRIS®MT EC,BASF QUIMICA COLOMBIANA S.A,METCONAZOLE PYRACLOSTROBIN,"80 g/L
130 g/L",IB,FUNGICIDA,EC,"BRASIL ESTADOS UNIDOS
,ESPAÑA","SOYA,  MAIZ, CAFE",Table_30
1364,10-10-2013/ 4179,,PICLORAM 240 DISAGROL SL,DISTRIBUCIONES AGROLORICA LTDA,PICLORAM,240 g/L,III,HERBICIDA,SL,CHINA,POTREROS,Table_30
1365,03-10-2013/ 4113,13-05-2015/ 1408,NIMROD DUO,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,BUPIRIMATE TEBUCONAZOLE,"116  g/L
47 g/L",II,FUNGICIDA,EC,ISRAEL COLOMBIA,ROSA,Table_30
1366,10-10-2013/ 4180,"05-02-2018/ 20199
12-10-2018/ 34204
17-11-2019/ 18395",SIRIUS® 70 WG,MITSUBISHI COLOMBIA LTDA,PYRAZOSULFURON ETHYL,"700 g/Kg ,",III,HERBICIDA,WG,JAPON,ARROZ,Table_30
1367,10-10-2013/ 4213,"14-02-2014/ 527
24-05-2017/ 6104
17-05-2018/ 25007
12-02-2020/ 61957
11-09-2020/ 075359",CERTUS®70% WS,SEMBRO S.A,THIAMETOXAM,700 g/Kg,III,INSECTICIDA,WP,CHINA INDIA,"ARROZ, NARANJA, LIMON, MANDARINA, LIMA, TANGELO, TORONJA, AGUACATE, CAFÉ, CAÑA DE AZUCAR",Table_30
1368,10-10-2013/ 4183,"16-02-2015/ 422
01-10-2015/ 3530
23-09-2016/ 12861",GRANOFED 25 EC,"FEDERACION NACIONAL DE ARROCEROS ""FEDEARROZ""","DELTAMETRINA
195 de 365",25 g/L,III,INSECTICIDA,EC,COLOMBIA INDIA,"ARROZ,  MAIZ",Table_30
1369,30-10-2013/ 4473,,DIAMANT 69 WP,SHARDA COLOMBIA S.A,DIMETOMORF MANCOZEB,"90 g/Kg
600 g/Kg",III,FUNGICIDA,WP,INDIA,"TOMATE,  ROSA PAPA",Table_30
1370,10-10-2013/ 4184,05/09/2017/ 10837,SYMBIOSIS®375 SC,ANASAC COLOMBIA LTDA,TEBUCONAZOLE CARBENDAZIM,"250 g/L
125 g/L",III,FUNGICIDA,SC,"CHILE
,CHINA",ARROZ,Table_30
1371,17-10-2013 / 4304,,TRYCICLAZOLE 75 WP-DVA,DVA DE COLOMBIA LTDA,TRYCICLAZOLE,750 g/Kg,III,FUNGICIDA,WP,CHINA,ARROZ,Table_30
1372,17-10-2013/ 4305,"01-11-2017/ 14200
26-08-2020/ 074263",BRICOL 500 SC - DVA,DVA DE COLOMBIA LTDA,CARBENDAZIM FLUTRIAFOL,"300  g/L
200 g/L",III,FUNGICIDA,SC,CHINA,"ARROZ,  PIÑA, ROSA, MAIZ, CAFÉ, ALGODON",Table_30
1373,30-10-2013/ 4472,"01-09-2015/ 3214
14-12-2015/ 2619
11-04-2016/ 3829
08-07-2016/ 8388,
11-10-2017/ 12524
CANCELADO CON RESOLUCION No 069291
DEL 04-06-2020",RUBRIC® 125 SC,FMC COLOMBIA S.A.S,EPOXICONAZOLE,125 g/L,II,FUNGICIDA,SC,URUGUAY ALEMANIA CHINA,"CAFÉ, ,BANANO",Table_30
1374,22-10-2013/ 4355,"25-11-2016 / 17105
11-08-2017/ 9731",RUTTO®,ASIA AGRO COLOMBIA S.A.S,CYFLUTHRIN,50 g/L,III,INSECTICIDA,EC,CHINA,"ARROZ, TRIGO",Table_30
1375,22-10-2013/ 4359,07/10/2016/ 13838,PIRLAX®,ASIA AGRO COLOMBIA S.A.S,"PIRIMIPHOS-METHYL
196 de 365",500 g/L,III,INSECTICIDA,EC,CHINA,ARROZ,Table_30
1376,30-10-2013/ 4469,"20-06-2014/ 1966
04-10-2019/ 15860",MANCOZEB + METALAXIL RAINBOW 72 WP,RAINBOW AGROSCIENCES S.A.S,MANCOZEB + METALAXYL,"640 g/Kg
80 g/Kg",III,FUNGICIDA,WP,CHINA,ROSA,Table_30
1377,30-10-2013/ 4470,04-10- 2019/ 15860,AMINA RAINBOW 480 SL,RAINBOW AGROSCIENCES S.A.S,"2,4-D",480 g/L,II,HERBICIDA,SL,CHINA,ARROZ,Table_30
1378,24-10-2013/ 4374,31-01-2020/ 61167,GOLAZO AMINA 720 SL,POINT DE COLOMBIA S.A.S,"2,4-D",720 g/L,III,HERBICIDA,SL,CHINA,"ARROZ, POTREROS",Table_30
1379,24-10-2013/ 4379,12-06-2015/ 1934,MANCOZEB INPRO 800 WP,"INDUSTRIA PRODUCTORA DE ARROZ S.A ""INPROARROZ""",MANCOZEB,800 g/Kg,III,FUNGICIDA,WP,CHINA,"ARROZ,  PAPA TOMATE, CEBOLLA",Table_30
1380,30-10-2013/ 4475,"08-11-2016 / 2016
19-12-2017/ 17815","2,4 D AMINA+ PICLORAM AGRIMOR 304 SL",JEBSEN & JESSEN COLOMBIA S.A.S,"2,4 D AMINA+ PICLORAM","240 g/L
64 g/L",III,HERBICIDA,SL,CHINA,POTREROS,Table_30
1381,08-11-2013/ 4548,,TUKEN 500 WG,ROTAM AGRO COLOMBIA S.A.S,DIFLUFENICAN,500 g/Kg,III,HERBICIDA,WG,CHINA,ARROZ,Table_30
1382,08-11-2013/4554,"22-11-2013/ 4900
16-10-2014/ 3261
26-05-2019/ 7018
04-10-2019/ 15860",PROPINEB + CYMOXANIL RAINBOW 76 WP,RAINBOW AGROSCIENCES S.A.S,"PROPINEB CYMOXANIL
197 de 365","700 g/Kg
60 g/Kg",III,FUNGICIDA,WP,CHINA,PAPA,Table_30
1383,08-11-2013/ 4549,"17-06-2014/ 1814
20-01-2020/ 60533
01-04-2020/ 064848",RALLY™ EC,DOW AGROSCIENCES DE COLOMBIA S.A,MYCLOBUTANIL,240 g/L,II,FUNGICIDA,EC,ITALIA,"ARROZ,  FRIJOL, CEBOLLA BULBO",Table_30
1384,08-11-2013/ 4555,"04-03-2015/ 696
09-04-2019/ 4400",THIAMETOXAN + LAMBDACYHALOTRINA RAINBOW 247 SC,RAINBOW AGROSCIENCES S.A.S,TIAMETOXAM LAMBDACIHALOTRINA,"141 g/L
106 g/L",III,INSECTICIDA,SC,CHINA,"ARROZ, PAPA, FRIJOL, PASTOS",Table_30
1385,15-11-2013/ 4615,"26-12-2014/ 4814
25-02-2015/ 504
25-05-2016/ 6102
29-01-2018/ 19807
16-07-2019/ 9918
25-10-2019/ 17120
12-02-2020/ 61949
27-07-2020/  072128",TARGET® 247 SC,TECNOQUIMICAS S.A,THIAMETHOXAM LAMBDCIHALOTRINA,"141 g/L
106 g/L",II,INSECTICIDA,SC,CHINA COLOMBIA INDIA,"ARROZ, CEBOLLA, FRIJOL, PAPA, PASTOS, ROSA, AGUACATE, PALMA DE
ACEITE",Table_30
1386,15-11-2013/ 4613,14-03-2016/ 2553,CHOCA 72 WP,UPL COLOMBIA S.A.S.,MANCOZEB CIMOXANIL,"640 g/Kg
80 g/Kg",III,FUNGICIDA,WP,INDIA,"TOMATE, PAPA",Table_30
1387,15-11-2015/ 4619,08-07-2015/ 2342,ATRAZINA RAINBOW 80 WP,RAINBOW  AGROSCIENCES S.A.S,ATRAZINA,800 g/kg,III,HERBICIDA,WP,CHINA,MAIZ,Table_30
1388,15-11-2013/ 4616,21-09-2015/ 3312,CLETODIM RAINBOW 240 EC,RAINBOW AGROSCIENCES S.A.S,CLETODIM,240 g/L,III,HERBICIDA,EC,CHINA,"CEBOLLA BULBO,  SOYA",Table_30
1389,15-11-2013/ 4617,,PENDIMETALINA RAINBOW 330 EC,RAINBOW AGROSCIENCES S.A.S,"PENDIMETALINA
198 de 365",330 g/L,III,HERBICIDA,EC,CHINA,MAIZ,Table_30
1390,15-11-2013/ 4618,"20-06-2014/ 1968
26-05-2019/ 7002
20-07-2019/ 10269
04-10-2019/ 15860",DIFENOCONAZOLE RAINBOW 250 EC,RAINBOW AGROSCIENCES S.A.S,DIFECONAZOLE RAINBOW 250 EC,250 g/L,II,FUNGICIDA,EC,CHINA,ROSAS,Table_30
1391,15-11-2013/ 4614,13-08-2019/ 12138,BENTAZON 480 SL-DVA,DVA DE COLOMBIA LTDA,BENTAZON,480 g/L,II,HERBICIDA,SL,CHINA,ARROZ,Table_30
1392,10-12-2013/ 5140,,BALLISTA 200 SC,SUCROP S.A,FIPRONIL,200 g/L,II,INSECTICIDA,SC,CHINA,ARROZ,Table_30
1393,24-12-2013/ 5529,,HELM SETRAL 216 SL,HELM ANDINA LTDA,METHOMYL,216 g/L,II,INSECTICIDA,SL,ALEMANIA POLONIA,"ARROZ,  PAPA, SOYA",Table_30
1394,15-11-2013/ 4600,26-11-2019/ 19007,FIPRONIL AGROCENTRO 200 SC,AGROCENTRO COLOMBIA S.A.S,FIPRONIL,200 g/L,II,INSECTICIDA,SC,CHINA,"PASTOS, ARROZ,, PAPA",Table_30
1395,10-12-2013/ 5145,,PATRULLA 70 ME,QUIMICOS OMA S.A,DIFENOCONAZOL KRESOXIM-METHYL,"40 g/L
30 g/L",III,FUNGICIDA,ME,COLOMBIA CHINA,"ARROZ, ARVEJA, BANANO CEBOLLA BULBO,, FRIJOL, ROSA, TOMATE, TOMATE DE ARBOL",Table_30
1396,22-11-2013/ 4899,"09-02-2017/ 1207
02-05-2018/ 24009",MAPLONIL 200 SC,AGRO LEAD COLOMBIA S.A.S,"FIPRONIL
199 de 365",200 g/L,II,INSECTICIDA,SC,HONG KONG CHINA,ARROZ,Table_30
1397,22-11-2013/ 4901,22-02-2017/ 1984,BUCK®,ARYSTA LIFESCIENCE COLOMBIA S.A.S,PYRIMETHANIL,400 g/L,III,FUNGICIDA,SC,CHINA,ROSAS,Table_30
1398,13-11-2013/ 5264,"17-09-2019/ 14458
11-05-2020/ 067485",PABLANCO 100 EC,UPL COLOMBIA S.A.S,BIFENTRINA,100 g/L,II,INSECTICIDA,EC,INDIA,"PAPA,  AGUACATE",Table_30
1399,04-12-2013/ 5079,,PERAGUS VECOL 180 EC,"EMPRESA COLOMBIANA DE PRODUCTOS VETERINARIOS ""VECOL S.A""",CYHALOFOP BUTYL,180 g/L,III,HERBICIDA,EC,CHINA,ARROZ,Table_30
1400,07-01-2013/ 004,"20-08-2014/ 2523
18-12-2014/4353
03- 09-2015/ 3148
06-03-2017/ 2430
11-06-2019/ 7813
04-06-2020/ 069368",CLOSER™ 240 SC,DOW AGROSCIENCES DE COLOMBIA S.A,SULFOXAFLOR,240 g/L,III,INSECTICIDA,SC,ESTADOS UNIDOS,"PASTURAS, TOMATE, LULO, BERENJENA, PIMENTON, UCHUVA, AJI, AJI
DULCE, TOMATE DE ARBOL, FRIJOL, HABICHUELA, HABA, ALGODÓN, ARROZ, NARANJA, LIMON, MANDARINA, LIMA, TANGELO, TORONJA, PAPA,
AGUACATE, MANGO, MELON, AHUYAMA, PEPINO, CALABACIN, SANDIA,
PALMA, CAFÉ, PLATANO, ROSA, MAIZ",Table_30
1401,10-12-2013/ 5144,"10-11-2016 / 15849 19-12-
2017/ 17811
26-10-2019/ 17146",GLIFOSATO 480 SL AGRIMOR,JEBSEN & JESSEN COLOMBIA S.A.S,GLIFOSATO,355.6 g/L,III,HERBICIDA,SL,CHINA,ARROZ,Table_30
1402,09-12-2013/ 5134,,ATRAZINA RAINBOW 90 WG,RAINBOW AGROSCIENCES S.A.S,ATRAZINA,900 g/Kg,III,HERBICIDA,WG,CHINA,MAIZ,Table_30
1403,10-12-2013/,"08-11-2016/ 15584
19-12-2017/ 17807
26-10-2019/ 17138",MANCOZEB 80 WP AGRIMOR,JEBSEN & JESSEN COLOMBIA S.A.S,MANCOZEB,800 g/Kg,II,FUNGICIDA,WP,CHINA,PAPA,Table_31
1404,09-12-2013/ 5135,"13-05-2014/ 1321,
15-04-2016/ 4064",ANTORCH,INTEROC S.A SUCURSAL COLOMBIA,GLUFOSINATO DE AMONIO,200 g/L,II,HERBICIDA,SL,CHINA,"CAFÉ, ARROZ",Table_31
1405,13-12-2013/ 5263,"24-01-2014/ 3361
04-07-2015/ 2408
14-10-2015/ 3660,
18-11-2016/ 16428",MANCOXYL ANDINESA 720 WP,ISAGRO COLOMBIA S.A.S,MANCOZEB CYMOXANIL,640 g/Kg 80g/Kg,III,FUNGICIDA,WP,BULGARIA CHINA INDIA,PAPA,Table_31
1406,19-12-2013/ 5307,,CYPROCONAZOLE 100 SL DVA,DVA DE COLOMBIA LTDA,CYPROCONAZOLE,100 g/L,III,FUNGICIDA,SL,INDIA,CAFÉ,Table_31
1407,24-01-2014/ 332,"02-04-2014/ 1049
10-09-2015/ 3215
16-06-2020/  069935",CURYGEN EC,AVGUST COLOMBIA S.A.S.,DIFECONAZOLE,250 g/L,II,FUNGICIDA,EC,RUSIA CHINA,"ROSA, FRIJOL, TOMATE, CEBOLLA BULBO, BANANO , PLÁTANO",Table_31
1408,27-01-2014/ 347,24-07-2017/ 8725,HELMTOXAN 25 WG,HELM ANDINA LTDA,THIAMETHOXAM,250 g/kg,III,INSECTICIDA,WG,INDIA,"NARANJA, ARROZ, ALGODÓN, TOMATE, SOYA,  MAIZ,, ROSA, CAFÉ,, CEBOLLA, AGUACATE",Table_31
1409,07-01-2014/ 005,04-09-2015/ 3156,BUSINYER 48 SC,UPL COLOMBIA S.A.S.,"METRIBUZINA
201 de 365",480 g/L,III,HERBICIDA,SC,INDIA CHINA,PAPA,Table_31
1410,22-01-2014/ 263,"11-02-2014/ 503
01-10-2015/ 3531",ACAPELA®25,DUPONT DE COLOMBIA S.A,PICOXYSTROBIN,250 g/L,II,FUNGICIDA,SC,BRASIL,"ARROZ, CEBOLLA BULBO",Table_31
1411,29-01-2014/ 407,"17-07-2019/ 9984
04-10-2019/ 15860","2,4-DMA RAINBOW 80 SG",RAINBOW AGROSCIENCES S.A.S,"2,4-D",800 g Kg,III,HERBICIDA,SG,CHINA,"POTREROS,  ARROZ , CAÑA DE AZUCAR",Table_31
1412,29-01-2014/ 406,04-10-2019/ 15860,BOSCALID RAINBOW 50 WG,RAINBOW AGROSCIENCES S.A.S,BOSCALID,500 g/Kg,III,FUNGICIDA,WG,CHINA,TOMATE,Table_31
1413,29-01-2014/ 397,,FIPROMIDA 300 FS DVA,DVA DE COLOMBIA LTDA,IMIDACLOPRID     FIPRONIL,"200 g/L
100 g/L",III,INSECTICIDA,FS,CHINA,ARROZ,Table_31
1414,27-01-2014/ 348,"06-09-2016/ 11442
15-07-2020/ 071640",PELEO 70 WG,UPL COLOMBIA S.A.S,CARBENDAZIM FLUTRIAFOL,"200 g/Kg
500 g/kg",II,FUNGICIDA,WG,CHINA INDIA,"ARROZ, ROSA",Table_31
1415,29-01-2014/ 396,"08-08-2014/ 2408
07-05-2015/ 1366",SPINTOR ® 120 SC,DOW AGROSCIENCES DE COLOMBIA S.A,SPINOSAD,120 g/L,III,INSECTICIDA,SC,ESTADOS UNIDOS,"FRIJOL, TOMATE, ROSA",Table_31
1416,27-01-2014/ 349,"09-05-2018/ 24423 25-03-
2019/ 3361",FLUSH ®,ARYSTA LIFESCIENCE COLOMBIA S.A.S,"PROCHLORAZ
202 de 365",450 g/L,III,FUNGICIDA,EC,CHINA,"ROSA, TOMATE, CEBOLLA BULBO, ARROZ,  AGUACATE, AJI,  BERENJENA,
TOMATE DE ARBOL,  CEBOLLA LARGA, CEBOLLIN
PUERRO,  LULO, PIMENTON",Table_31
1417,05-02-2014/ 448,,ASPIS 180 EC,SUCROP S.A,CYHALOFOP BUTIL,180 g/L,III,HERBICIDA,EC,CHINA,ARROZ,Table_31
1418,10-02-2014/ 487,21-09-2015/ 3319,TAIFUNG 250®SC,ROTAM AGROCOLOMBIA S.A.S,TEBUCONAZOLE  CARBENDAZIM,"125 g/L
125 g/L",III,FUNGICIDA,SC,CHINA,ARROZ,Table_31
1419,07-02-2014/ 469,"28-02-2014/ 704,
06-10-2015/ 3577
26-09-2019/ 15213
06-04-2020/.065098",RANGO 150 SL,PHYTOCARE S.A.S,GLUFOSINATO DE AMONIO,150 g/L,II,HERBICIDA,SL,CHINA,"MAIZ, BANANO, PLATANO, MANGO, AGUACATE, DURAZNO,
CIRUELA, SAPOTE",Table_31
1420,07-02-2014/ 470,"06-10-2015/ 3577
18-03-2016/ 2874
12-02-2020/ 61977",TRAXOR 400 EC,PHYTOCARE S.A.S,BUPIRIMATE,444 g/L,II,FUNGICIDA,EC,CHINA,ROSA,Table_31
1421,10-02-2014/ 491,"06-10-2015/ 3577
12-02-2020/ 61943",KRESSOX 500 SC,AVGUST COLOMBIA S.A.S.,KRESOXIM METHYL,500 g/L,III,FUNGICIDA,SC,CHINA,ROSA,Table_31
1422,14-02-2014/ 525,"06-09-2016/ 11440
27-04-2017/ 4945
22/09/2017/ 11579
22-07-2019/ 10465
26-02-2020/ 62683
11-08-2020/ 073036",OPTIX 28 SC,UPL DE COLOMBIA S.A.S,AZOXYSTROBIN TEBUCONAZOLE,"120 g/Kg,
160 g/Kg",II,FUNGICIDA,SC,CHINA INDIA,"ARROZ, ROSA,,CAFÉ, PAPA, TOMATE,, LULO, TOMATE DE ARBOL, UCHUVA, AJI DULCE, AJI,  PIMENTON, AGUACATE",Table_31
1423,07-02-2014/ 471,"09-08-2016/ 10052
21-08-2020/ 073997",CURETES® 45 EW,UPL COLOMBIA S.A.S,"PROCHLORAZ
203 de 365",450 g/L,III,FUNGICIDA,EW,CHINA INDIA,ROSA,Table_31
1424,14-02-2014/ 522,"17-06-2019/ 8069
04-05-2020/ 066713",METOMYL 40 SP MEZFER,MEZFER DE COLOMBIA LTDA,METOMYL,400 g/Kg,III,INSECTICIDA,SP,CHINA,PAPA,Table_31
